relationship_id,card_id,related_entity,related_entity_type,relationship_type,evidence_source,confidence,status,notes,created_at,updated_at
259698,OP02-017,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,"color match: red, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259699,OP02-018,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259700,OP02-019,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,"color match: red, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259701,OP02-020,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259702,OP02-021,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259703,OP02-022,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259704,OP02-023,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259705,OP02-024,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259706,OP03-002,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,"color match: red, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259707,OP03-003,EB01-001,leader,supports_leader,text_analysis_2026_03_24,high,inferred,"trait match: land of wano, color match: red, leader requires Land of Wano type, card has that trait",2026-03-25 16:14:31,2026-03-25 16:14:31
259708,OP03-004,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,"color match: red, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259709,OP03-005,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259710,OP03-006,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259711,OP03-007,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259712,OP03-009,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,"color match: red, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259713,OP03-010,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259714,OP03-011,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,"color match: red, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259715,OP03-012,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259716,OP03-013,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259717,OP03-014,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259718,OP03-015,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259719,OP03-016,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259720,OP03-017,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259721,OP03-018,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259722,OP03-019,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259723,OP03-020,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,"color match: red, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259724,OP04-002,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259725,OP04-003,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259726,OP04-004,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,"color match: red, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259727,OP04-005,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259728,OP04-006,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259729,OP04-007,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259730,OP04-008,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,"color match: red, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259731,OP04-009,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259732,OP04-010,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259733,OP04-011,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259734,OP04-012,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259735,OP04-013,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,"color match: red, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259736,OP04-014,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259737,OP04-015,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259738,OP04-016,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259739,OP04-017,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259740,OP04-018,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259741,OP04-118,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259742,OP05-003,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259743,OP05-004,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259744,OP05-005,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259745,OP05-006,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259746,OP05-007,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259747,OP05-008,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,"color match: red, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259748,OP05-009,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259749,OP05-010,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259750,OP05-011,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259751,OP05-012,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259752,OP05-013,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259753,OP05-014,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,"color match: red, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259754,OP05-015,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259755,OP05-016,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259756,OP05-017,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259757,OP05-018,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259758,OP05-019,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259759,OP05-020,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259760,OP05-021,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259761,OP06-002,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259762,OP06-003,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259763,OP06-004,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259764,OP06-005,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259765,OP06-006,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,"color match: red, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259766,OP06-007,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259767,OP06-008,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259768,OP06-009,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259769,OP06-010,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
